,STATE/UT,YEAR,TIME,ACCIDENTS
2328,Maharashtra,2012,0-3 hrs. (Night),4125
2329,Maharashtra,2012,3-6 hrs. (Night),4655
2330,Maharashtra,2012,6-9 hrs (Day),5239
2331,Maharashtra,2012,9-12 hrs (Day),6093
2332,Maharashtra,2012,12-15 hrs (Day),6176
2333,Maharashtra,2012,15-18 hrs (Day),6857
2334,Maharashtra,2012,18-21 hrs (Night),6668
2335,Maharashtra,2012,21-24 hrs (Night),5434
2336,Maharashtra,2013,0-3 hrs. (Night),3647
2337,Maharashtra,2013,3-6 hrs. (Night),3649
2338,Maharashtra,2013,6-9 hrs (Day),4822
2339,Maharashtra,2013,9-12 hrs (Day),5901
2340,Maharashtra,2013,12-15 hrs (Day),6211
2341,Maharashtra,2013,15-18 hrs (Day),6727
2342,Maharashtra,2013,18-21 hrs (Night),7368
2343,Maharashtra,2013,21-24 hrs (Night),5538
2344,Maharashtra,2014,0-3 hrs. (Night),3376
2345,Maharashtra,2014,3-6 hrs. (Night),3330
2346,Maharashtra,2014,6-9 hrs (Day),4853
2347,Maharashtra,2014,9-12 hrs (Day),6430
2348,Maharashtra,2014,12-15 hrs (Day),6522
2349,Maharashtra,2014,15-18 hrs (Day),7126
2350,Maharashtra,2014,18-21 hrs (Night),7421
2351,Maharashtra,2014,21-24 hrs (Night),5324
2352,Manipur,2001,0-3 hrs. (Night),0
2353,Manipur,2001,3-6 hrs. (Night),7
2354,Manipur,2001,6-9 hrs (Day),82
2355,Manipur,2001,9-12 hrs (Day),111
2356,Manipur,2001,12-15 hrs (Day),87
2357,Manipur,2001,15-18 hrs (Day),87
2358,Manipur,2001,18-21 hrs (Night),34
2359,Manipur,2001,21-24 hrs (Night),2
2360,Manipur,2002,0-3 hrs. (Night),0
2361,Manipur,2002,3-6 hrs. (Night),0
2362,Manipur,2002,6-9 hrs (Day),65
2363,Manipur,2002,9-12 hrs (Day),161
2364,Manipur,2002,12-15 hrs (Day),126
2365,Manipur,2002,15-18 hrs (Day),142
2366,Manipur,2002,18-21 hrs (Night),21
2367,Manipur,2002,21-24 hrs (Night),5
2368,Manipur,2003,0-3 hrs. (Night),1
2369,Manipur,2003,3-6 hrs. (Night),18
2370,Manipur,2003,6-9 hrs (Day),73
2371,Manipur,2003,9-12 hrs (Day),136
2372,Manipur,2003,12-15 hrs (Day),92
2373,Manipur,2003,15-18 hrs (Day),134
2374,Manipur,2003,18-21 hrs (Night),56
2375,Manipur,2003,21-24 hrs (Night),13
2376,Manipur,2004,0-3 hrs. (Night),0
2377,Manipur,2004,3-6 hrs. (Night),10
2378,Manipur,2004,6-9 hrs (Day),50
2379,Manipur,2004,9-12 hrs (Day),129
2380,Manipur,2004,12-15 hrs (Day),86
2381,Manipur,2004,15-18 hrs (Day),115
2382,Manipur,2004,18-21 hrs (Night),64
2383,Manipur,2004,21-24 hrs (Night),14
2384,Manipur,2005,0-3 hrs. (Night),13
2385,Manipur,2005,3-6 hrs. (Night),26
2386,Manipur,2005,6-9 hrs (Day),89
2387,Manipur,2005,9-12 hrs (Day),110
2388,Manipur,2005,12-15 hrs (Day),113
2389,Manipur,2005,15-18 hrs (Day),115
2390,Manipur,2005,18-21 hrs (Night),103
2391,Manipur,2005,21-24 hrs (Night),31
2392,Manipur,2006,0-3 hrs. (Night),7
2393,Manipur,2006,3-6 hrs. (Night),27
2394,Manipur,2006,6-9 hrs (Day),69
2395,Manipur,2006,9-12 hrs (Day),129
2396,Manipur,2006,12-15 hrs (Day),114
2397,Manipur,2006,15-18 hrs (Day),89
2398,Manipur,2006,18-21 hrs (Night),68
2399,Manipur,2006,21-24 hrs (Night),18
2400,Manipur,2007,0-3 hrs. (Night),6
2401,Manipur,2007,3-6 hrs. (Night),27
2402,Manipur,2007,6-9 hrs (Day),70
2403,Manipur,2007,9-12 hrs (Day),146
2404,Manipur,2007,12-15 hrs (Day),125
2405,Manipur,2007,15-18 hrs (Day),89
